code,name,active,changed_at,source_window,collected_at,raw_json
1010150201,개,Y,2020-12-23,all,2026-09-05T15:38:04+00:00,"{""chgDate"": ""2020-12-23"", ""dtilPrdctClsfcNo"": ""1010150201"", ""dtilPrdctClsfcNoEngNm"": ""Dogs"", ""dtilPrdctClsfcNoNm"": ""개"", ""dtilPrdctClsfcNoNmDscrpt"": ""식육목 개과의 포유류. 한자로 견, 구, 술 등으로 표기함. 포유류 중 가장 오래된 가축으로 거의 전세계에서 사육되며 200여 품종이 있음."", ""useYn"": ""Y""}"
1010150401,밍크,Y,2010-09-03,all,2026-09-05T15:38:04+00:00,"{""chgDate"": ""2010-09-03"", ""dtilPrdctClsfcNo"": ""1010150401"", ""dtilPrdctClsfcNoEngNm"": ""Mink"", ""dtilPrdctClsfcNoNm"": ""밍크"", ""dtilPrdctClsfcNoNmDscrpt"": ""족제비과에 속하는 동물로 서북아메리카, 프랑스 등지에 분포하며, 물가 근처를 좋아하고, 시각은 물속의 물체를 잘 발견할 수 있도록 적응되어 있지는 않으나 물고기를 쫓아 잠수하기 전에 물위에서 먹이의 위치를 잘 보아둠."", ""useYn"": ""Y""}"
1010150601,말,Y,2010-09-03,all,2026-09-05T15:38:04+00:00,"{""chgDate"": ""2010-09-03"", ""dtilPrdctClsfcNo"": ""1010150601"", ""dtilPrdctClsfcNoEngNm"": ""Horses"", ""dtilPrdctClsfcNoNm"": ""말"", ""dtilPrdctClsfcNoNmDscrpt"": ""기제목 말과의 포유류. 중요한 가축의 하나이며, 전세계에서 널리 사육되고 있음."", ""useYn"": ""Y""}"
1010150701,양,Y,2010-09-03,all,2026-09-05T15:38:04+00:00,"{""chgDate"": ""2010-09-03"", ""dtilPrdctClsfcNo"": ""1010150701"", ""dtilPrdctClsfcNoEngNm"": ""Sheep"", ""dtilPrdctClsfcNoNm"": ""양"", ""dtilPrdctClsfcNoNmDscrpt"": ""포유류 소목 소과 양속의 총칭. 가축인 면양 및 무플런, 아르갈리, 빅혼, 우리알, 아시아무플런, 달리빅혼, 시베리아빅혼, 아메리카빅혼 등 야생의 양을 포함함."", ""useYn"": ""Y""}"
1010150801,염소,Y,2024-02-23,all,2026-09-05T15:38:04+00:00,"{""chgDate"": ""2024-02-23"", ""dtilPrdctClsfcNo"": ""1010150801"", ""dtilPrdctClsfcNoEngNm"": ""Goats"", ""dtilPrdctClsfcNoNm"": ""염소"", ""dtilPrdctClsfcNoNmDscrpt"": ""포유류 우제목 소과 염소속에 속하며, 머리에 뿔이 있는 우제류 가축."", ""useYn"": ""Y""}"
1010151001,쥐,Y,2010-09-03,all,2026-09-05T15:38:04+00:00,"{""chgDate"": ""2010-09-03"", ""dtilPrdctClsfcNo"": ""1010151001"", ""dtilPrdctClsfcNoEngNm"": ""Mice"", ""dtilPrdctClsfcNoNm"": ""쥐"", ""dtilPrdctClsfcNoNmDscrpt"": ""포유류 쥐목 쥐아목의 총칭. 남극과 뉴질랜드 이외의 세계 각 지방에 분포함."", ""useYn"": ""Y""}"
1010151101,돼지,Y,2020-05-06,all,2026-09-05T15:38:04+00:00,"{""chgDate"": ""2020-05-06"", ""dtilPrdctClsfcNo"": ""1010151101"", ""dtilPrdctClsfcNoEngNm"": ""Swine"", ""dtilPrdctClsfcNoNm"": ""돼지"", ""dtilPrdctClsfcNoNmDscrpt"": ""포유류 소목 멧돼지과에 딸린 가축 돼지속의 동물로, 이용도에 따라서 지방형(라드형), 가공용형(베이컨형) 및 생육형(미트형)으로 나뉨."", ""useYn"": ""Y""}"
1010151201,토끼,Y,2010-09-03,all,2026-09-05T15:38:04+00:00,"{""chgDate"": ""2010-09-03"", ""dtilPrdctClsfcNo"": ""1010151201"", ""dtilPrdctClsfcNoEngNm"": ""Rabbits"", ""dtilPrdctClsfcNoNm"": ""토끼"", ""dtilPrdctClsfcNoNmDscrpt"": ""토끼목 토끼과 동물의 총칭으로 분류는 토끼목 토끼과이며, 분포지역은 아프리카, 아메리카, 아시아, 유럽이고, 중치류라고도하며, 아프리카, 아메리카, 아시아, 유럽에 분포하며 종류가 많음. 토끼류를 일반적으로 나누면 멧토끼류와 굴토끼류로 크게 나뉨. 토끼류도 포함함."", ""useYn"": ""Y""}"
1010151601,소,Y,2010-09-03,all,2026-09-05T15:38:04+00:00,"{""chgDate"": ""2010-09-03"", ""dtilPrdctClsfcNo"": ""1010151601"", ""dtilPrdctClsfcNoEngNm"": ""Cattle"", ""dtilPrdctClsfcNoNm"": ""소"", ""dtilPrdctClsfcNoNmDscrpt"": ""소목 소과의 포유류로 분류는 소목 소과이고 생활방식은 초식성 반추동물 주행성임."", ""useYn"": ""Y""}"
1010159901,페럿,Y,2025-08-08,all,2026-09-05T15:38:04+00:00,"{""chgDate"": ""2025-08-08"", ""dtilPrdctClsfcNo"": ""1010159901"", ""dtilPrdctClsfcNoEngNm"": ""Ferret"", ""dtilPrdctClsfcNoNm"": ""페럿"", ""dtilPrdctClsfcNoNmDscrpt"": ""포유류 식육목 족제비과 족제비속에 속하며, 긴 체형을 가진 가축화된 소형 육식동물."", ""useYn"": ""Y""}"
1010160101,닭,Y,2010-09-03,all,2026-09-05T15:38:04+00:00,"{""chgDate"": ""2010-09-03"", ""dtilPrdctClsfcNo"": ""1010160101"", ""dtilPrdctClsfcNoEngNm"": ""Live chickens"", ""dtilPrdctClsfcNoNm"": ""닭"", ""dtilPrdctClsfcNoNmDscrpt"": ""닭목 꿩과의 조류로 알과 고기의 생산을 목적으로 사육하는 가축임. 닭류도 포함함."", ""useYn"": ""Y""}"
1010160201,오리,Y,2010-09-03,all,2026-09-05T15:38:04+00:00,"{""chgDate"": ""2010-09-03"", ""dtilPrdctClsfcNo"": ""1010160201"", ""dtilPrdctClsfcNoEngNm"": ""Live ducks"", ""dtilPrdctClsfcNoNm"": ""오리"", ""dtilPrdctClsfcNoNmDscrpt"": ""오리과의 소형 물새의 총칭으로 고니속과 기러기속과도 구별하여 부름. 전세계적으로 분포되었으며 북반구의 북부에서 번식하는 종들은 겨울에 월동을 위해 남하 이동하지만 온대와 열대의 종들은 텃새로서 그대로 그곳에 머물며 부리는 편평하며 양쪽 가장자리는 빗살 모양이고 물을 걸러서 낟알이나 수중의 생물 등의 먹이를 찾아 먹고 바다에 사는 오리는 해조류, 패류, 어류 등을 먹음. 바다오리도 포함함."", ""useYn"": ""Y""}"
